"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"16年01月",-0.1,-0.1,0.6,0.9
"16年02月",0.2,0,0.6,1
"16年03月",0,-0.3,0.6,0.9
"16年04月",-0.3,-0.4,0.5,0.8
"16年05月",-0.5,-0.4,0.5,0.7
"16年06月",-0.4,-0.4,0.5,0.7
"16年07月",-0.4,-0.5,0.3,0.5
"16年08月",-0.5,-0.5,0.2,0.4
"16年09月",-0.5,-0.5,0,0.2
"16年10月",0.1,-0.4,0.2,0.3
"16年11月",0.5,-0.4,0.1,0.2
"16年12月",0.3,-0.2,0,0.1
"17年01月",0.4,0.1,0.1,0.2
"17年02月",0.3,0.2,-0.1,0.1
"17年03月",0.2,0.2,-0.3,-0.1
"17年04月",0.4,0.3,-0.3,0
"17年05月",0.4,0.4,-0.2,0
"17年06月",0.4,0.4,-0.2,0
"17年07月",0.4,0.5,-0.1,0.1
"17年08月",0.7,0.7,0,0.2
"17年09月",0.7,0.7,0,0.2
"17年10月",0.2,0.8,0,0.2
"17年11月",0.6,0.9,0.1,0.3
"17年12月",1,0.9,0.1,0.3
"18年01月",1.4,0.9,0.1,0.4
"18年02月",1.5,1,0.3,0.5
"18年03月",1.1,0.9,0.3,0.5
"18年04月",0.6,0.7,0.1,0.4
"18年05月",0.7,0.7,0.1,0.3
"18年06月",0.7,0.8,0,0.2
"18年07月",0.9,0.8,0,0.3
"18年08月",1.3,0.9,0.2,0.4
"18年09月",1.2,1,0.1,0.4
"18年10月",1.4,1,0.2,0.4
"18年11月",0.8,0.9,0.1,0.3
"18年12月",0.3,0.7,0.1,0.3
"19年01月",0.2,0.8,0.3,0.4
"19年02月",0.2,0.7,0.3,0.4
"19年03月",0.5,0.8,0.3,0.4
"19年04月",0.9,0.9,0.5,0.6
"19年05月",0.7,0.8,0.3,0.5
"19年06月",0.7,0.6,0.3,0.5
"19年07月",0.5,0.6,0.4,0.6
"19年08月",0.3,0.5,0.4,0.6
"19年09月",0.2,0.3,0.3,0.5
"19年10月",0.2,0.4,0.3,0.7
"19年11月",0.5,0.5,0.5,0.8
"19年12月",0.8,0.7,0.5,0.9
"20年01月",0.7,0.8,0.4,0.8
"20年02月",0.4,0.6,0.2,0.6
"20年03月",0.4,0.4,0.3,0.6
"20年04月",0.1,-0.2,-0.1,0.2
"20年05月",0.1,-0.2,0.1,0.4
"20年06月",0.1,0,0.2,0.4
"消費者物価指数:全国:前年同月比 Source:総務省",,,,
